fighter,stance,win_loss_ratio,average_rounds,average_time_seconds,most_common_method,height_inches,weight_lbs,height_meters,weight_kg,past_fights
Edwin Aguilar,,0.0,1.0,163.0,KO/TKO,70.0,185.0,1.78,83.91,"[{'wl': 'loss', 'opponent': 'Martin Kampmann', 'method': 'KO/TKO', 'round': '1', 'time': '2:43'}]"
Jessica Aguilar,Orthodox,0.25,2.6,284.0,U-DEC,63.0,115.0,1.6,52.16,"[{'wl': 'loss', 'opponent': 'Marina Rodriguez', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Zhang Weili', 'method': 'SUB\n \n \n\n Armbar', 'round': '1', 'time': '3:41'}, {'wl': 'win', 'opponent': 'Jodie Esquibel', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Cortney Casey', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Claudia Gadelha', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}]"
Kevin Aguilar,Orthodox,0.75,2.7142857142857144,285.0,U-DEC,67.0,155.0,1.7,70.31,"[{'wl': 'loss', 'opponent': 'Tucker Lutz', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Charles Rosa', 'method': 'S-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Zubaira Tukhugov', 'method': 'KO/TKO\n \n \n\n Punches', 'round': '1', 'time': '3:21'}, {'wl': 'loss', 'opponent': 'Dan Ige', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Enrique Barzola', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Ricky Glenn', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Joey Gomez', 'method': 'S-DEC', 'round': '3', 'time': '5:00'}]"
Christian Aguilera,Switch,0.5,1.3333333333333333,112.0,SUB Anaconda Choke,69.0,170.0,1.75,77.11,"[{'wl': 'loss', 'opponent': 'Carlston Harris', 'method': 'SUB\n \n \n\n Anaconda Choke', 'round': '1', 'time': '2:52'}, {'wl': 'loss', 'opponent': 'Sean Brady', 'method': 'SUB\n \n \n\n Guillotine Choke', 'round': '2', 'time': '1:47'}, {'wl': 'win', 'opponent': 'Anthony Ivy', 'method': 'KO/TKO\n \n\n\n Punches', 'round': '1', 'time': '0:59'}]"
Mike Aina,Orthodox,0.0,5.0,522.0,Overturned,69.0,155.0,1.75,70.31,"[{'wl': 'nc', 'opponent': 'Billy Evangelista', 'method': 'Overturned', 'round': '2', 'time': '3:42'}, {'wl': 'loss', 'opponent': 'Nick Diaz', 'method': 'S-DEC', 'round': '3', 'time': '5:00'}]"
Hitomi Akano,Southpaw,0.3333333333333333,2.75,155.0,U-DEC,64.0,135.0,1.63,61.23,"[{'wl': 'loss', 'opponent': 'Sara McMann', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Miesha Tate', 'method': 'U-DEC', 'round': '3', 'time': '3:00'}, {'wl': 'win', 'opponent': 'Carina Damm', 'method': 'SUB\n \n \n\n Armbar', 'round': '2', 'time': '1:48'}, {'wl': 'loss', 'opponent': 'Cristiane Justino', 'method': 'KO/TKO\n \n \n\n Punches', 'round': '3', 'time': '0:35'}]"
Omari Akhmedov,Orthodox,1.8,2.7142857142857144,279.0,U-DEC,72.0,185.0,1.83,83.91,"[{'wl': 'loss', 'opponent': 'Brad Tavares', 'method': 'S-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Tom Breese', 'method': 'SUB\n \n \n\n Arm Triangle', 'round': '2', 'time': '1:41'}, {'wl': 'loss', 'opponent': 'Chris Weidman', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Ian Heinisch', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Zak Cummings', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Tim Boetsch', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'draw', 'opponent': 'Marvin Vettori', 'method': 'M-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Abdul Razak Alhassan', 'method': 'S-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Kyle Noke', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Elizeu Zaleski dos Santos', 'method': 'KO/TKO\n \n\n\n Knee', 'round': '3', 'time': '3:03'}, {'wl': 'loss', 'opponent': 'Sergio Moraes', 'method': 'KO/TKO\n \n \n\n Punches', 'round': '3', 'time': '2:18'}, {'wl': 'win', 'opponent': 'Brian Ebersole', 'method': 'KO/TKO', 'round': '1', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Mats Nilsson', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Gunnar Nelson', 'method': 'SUB\n \n \n\n Guillotine Choke', 'round': '1', 'time': '4:36'}, {'wl': 'win', 'opponent': 'Thiago Perpetuo', 'method': 'KO/TKO\n \n\n\n Punch', 'round': '1', 'time': '3:31'}]"
Yoshihiro Akiyama,Orthodox,2.333333333333333,1.75,256.0,SUB Armbar,70.0,170.0,1.78,77.11,"[{'wl': 'loss', 'opponent': 'Alberto Mina', 'method': 'S-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Amir Sadollah', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Jake Shields', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Vitor Belfort', 'method': 'KO/TKO\n \n \n\n Punches', 'round': '1', 'time': '1:52'}, {'wl': 'loss', 'opponent': 'Michael Bisping', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Chris Leben', 'method': 'SUB\n \n\n\n Triangle Choke', 'round': '3', 'time': '4:40'}, {'wl': 'win', 'opponent': 'Alan Belcher', 'method': 'S-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Masanori Tonooka', 'method': 'SUB\n \n \n\n Armbar', 'round': '1', 'time': '6:26'}, {'wl': 'win', 'opponent': 'Katsuyori Shibata', 'method': 'SUB\n \n \n\n Gi Choke', 'round': '1', 'time': '6:34'}, {'wl': 'nc', 'opponent': 'Kazuo Misaki', 'method': 'Overturned', 'round': '1', 'time': '7:48'}, {'wl': 'win', 'opponent': 'Denis Kang', 'method': 'KO/TKO\n \n \n\n Punch', 'round': '1', 'time': '4:45'}, {'wl': 'nc', 'opponent': 'Kazushi Sakuraba', 'method': 'Overturned', 'round': '1', 'time': '5:37'}, {'wl': 'win', 'opponent': 'Melvin Manhoef', 'method': 'SUB\n \n \n\n Armbar', 'round': '1', 'time': '1:58'}, {'wl': 'win', 'opponent': 'Kestutis Smirnovas', 'method': 'KO/TKO\n \n \n\n Kick', 'round': '1', 'time': '3:01'}, {'wl': 'win', 'opponent': 'Taiei Kin', 'method': 'SUB\n \n \n\n Armbar', 'round': '1', 'time': '2:01'}, {'wl': 'win', 'opponent': 'Katsuhiko Nagata', 'method': 'KO/TKO\n \n \n\n Spinning Back Kick', 'round': '1', 'time': '2:25'}, {'wl': 'win', 'opponent': 'Tokimitsu Ishizawa', 'method': 'SUB\n \n \n\n Gi Choke', 'round': '2', 'time': '1:41'}, {'wl': 'win', 'opponent': 'Masakatsu Okuda', 'method': 'KO/TKO\n \n \n\n Punches', 'round': '1', 'time': '3:31'}, {'wl': 'win', 'opponent': 'Michael Lerma', 'method': 'KO/TKO\n \n \n\n Punches', 'round': '1', 'time': '2:47'}, {'wl': 'win', 'opponent': 'Carl Toomey', 'method': 'SUB\n \n \n\n Armbar', 'round': '1', 'time': '0:59'}, {'wl': 'loss', 'opponent': 'Jerome LeBanner', 'method': 'KO/TKO\n \n \n\n Knee', 'round': '1', 'time': '2:24'}, {'wl': 'win', 'opponent': 'Francois Botha', 'method': 'SUB\n \n \n\n Armbar', 'round': '1', 'time': '1:54'}]"
Rostem Akman,Switch,0.0,3.0,300.0,U-DEC,70.0,170.0,1.78,77.11,"[{'wl': 'loss', 'opponent': 'Jake Matthews', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Sergey Khandozhko', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}]"
Razak Al-Hassan,Orthodox,0.0,2.0,272.0,S-DEC,74.0,205.0,1.88,92.99,"[{'wl': 'loss', 'opponent': 'Kyle Kingsbury', 'method': 'S-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Steve Cantwell', 'method': 'SUB\n \n \n\n Armbar', 'round': '1', 'time': '4:04'}]"
