fighter,stance,win_loss_ratio,average_rounds,average_time_seconds,most_common_method,height_inches,weight_lbs,height_meters,weight_kg,past_fights
Benson Henderson,Southpaw,4.0,3.45,238.0,U-DEC,69.0,170.0,1.75,77.11,"[{'wl': 'win', 'opponent': 'Jorge Masvidal', 'method': 'S-DEC', 'round': '5', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Brandon Thatch', 'method': 'SUB\n \n\n\n Rear Naked Choke', 'round': '4', 'time': '3:58'}, {'wl': 'loss', 'opponent': 'Donald Cerrone', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Rafael Dos Anjos', 'method': 'KO/TKO\n \n \n\n Punch', 'round': '1', 'time': '2:31'}, {'wl': 'win', 'opponent': 'Rustam Khabilov', 'method': 'SUB\n \n\n\n Rear Naked Choke', 'round': '4', 'time': '1:16'}, {'wl': 'win', 'opponent': 'Josh Thomson', 'method': 'S-DEC', 'round': '5', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Anthony Pettis', 'method': 'SUB\n \n \n\n Armbar', 'round': '1', 'time': '4:41'}, {'wl': 'win', 'opponent': 'Gilbert Melendez', 'method': 'S-DEC', 'round': '5', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Nate Diaz', 'method': 'U-DEC', 'round': '5', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Frankie Edgar', 'method': 'S-DEC', 'round': '5', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Frankie Edgar', 'method': 'U-DEC', 'round': '5', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Clay Guida', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Jim Miller', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Mark Bocek', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Anthony Pettis', 'method': 'U-DEC', 'round': '5', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Donald Cerrone', 'method': 'SUB\n \n\n\n Guillotine Choke', 'round': '1', 'time': '1:57'}, {'wl': 'win', 'opponent': 'Jamie Varner', 'method': 'SUB\n \n \n\n Guillotine Choke', 'round': '3', 'time': '2:41'}, {'wl': 'win', 'opponent': 'Donald Cerrone', 'method': 'U-DEC', 'round': '5', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Shane Roller', 'method': 'KO/TKO\n \n \n\n Punches', 'round': '1', 'time': '1:41'}, {'wl': 'win', 'opponent': 'Anthony Njokuani', 'method': 'SUB\n \n \n\n Guillotine Choke', 'round': '2', 'time': '0:42'}]"
Ron Henderson,,,,,,70.0,125.0,1.78,56.7,[]
Josh Hendricks,Southpaw,0.0,1.0,61.0,KO/TKO Punch,74.0,235.0,1.88,106.59,"[{'wl': 'loss', 'opponent': 'Gabriel Gonzaga', 'method': 'KO/TKO\n \n \n\n Punch', 'round': '1', 'time': '1:01'}]"
Johny Hendricks,Southpaw,1.875,2.652173913043478,209.0,U-DEC,69.0,185.0,1.75,83.91,"[{'wl': 'loss', 'opponent': 'Paulo Costa', 'method': 'KO/TKO\n \n \n\n Punches', 'round': '2', 'time': '1:23'}, {'wl': 'loss', 'opponent': 'Tim Boetsch', 'method': 'KO/TKO\n \n \n\n Punches', 'round': '2', 'time': '0:46'}, {'wl': 'win', 'opponent': 'Hector Lombard', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Neil Magny', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Kelvin Gastelum', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Stephen Thompson', 'method': 'KO/TKO\n \n \n\n Punch', 'round': '1', 'time': '3:31'}, {'wl': 'win', 'opponent': 'Matt Brown', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Robbie Lawler', 'method': 'S-DEC', 'round': '5', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Robbie Lawler', 'method': 'U-DEC', 'round': '5', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Georges St-Pierre', 'method': 'S-DEC', 'round': '5', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Carlos Condit', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Martin Kampmann', 'method': 'KO/TKO\n \n\n\n Punch', 'round': '1', 'time': '0:46'}, {'wl': 'win', 'opponent': 'Josh Koscheck', 'method': 'S-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Jon Fitch', 'method': 'KO/TKO\n \n\n\n Punch', 'round': '1', 'time': '0:12'}, {'wl': 'win', 'opponent': 'Mike Pierce', 'method': 'S-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'TJ Waldburger', 'method': 'KO/TKO\n \n\n\n Punch', 'round': '1', 'time': '1:35'}, {'wl': 'loss', 'opponent': 'Rick Story', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Charlie Brenneman', 'method': 'KO/TKO\n \n \n\n Punches', 'round': '2', 'time': '0:40'}, {'wl': 'win', 'opponent': 'TJ Grant', 'method': 'M-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Ricardo Funch', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Amir Sadollah', 'method': 'KO/TKO\n \n \n\n Punches', 'round': '1', 'time': '0:29'}, {'wl': 'win', 'opponent': 'Alex Serdyukov', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Justin Haskins', 'method': 'KO/TKO\n \n \n\n Punches', 'round': '2', 'time': '0:52'}]"
Cory Hendricks,,0.0,3.0,300.0,M-DEC,75.0,205.0,1.91,92.99,"[{'wl': 'loss', 'opponent': 'Josh Stansbury', 'method': 'M-DEC', 'round': '3', 'time': '5:00'}]"
Luis Henrique,Orthodox,0.5,2.6666666666666665,228.0,U-DEC,74.0,243.0,1.88,110.22,"[{'wl': 'loss', 'opponent': 'Ryan Spann', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Arjan Bhullar', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Marcin Tybura', 'method': 'KO/TKO\n \n \n\n Punches', 'round': '3', 'time': '3:46'}, {'wl': 'win', 'opponent': 'Christian Colombo', 'method': 'SUB\n \n \n\n Guillotine Choke', 'round': '3', 'time': '2:12'}, {'wl': 'win', 'opponent': 'Dmitrii Smoliakov', 'method': 'SUB\n \n \n\n Rear Naked Choke', 'round': '2', 'time': '3:58'}, {'wl': 'loss', 'opponent': 'Francis Ngannou', 'method': 'KO/TKO\n \n \n\n Punch', 'round': '2', 'time': '2:53'}]"
Diego Henrique da Silva,Orthodox,0.0,3.0,300.0,U-DEC,74.0,185.0,1.88,83.91,"[{'wl': 'loss', 'opponent': 'Antonio Arroyo', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}]"
Danny Henry,Orthodox,1.0,1.5,152.0,SUB Anaconda Choke,72.0,145.0,1.83,65.77,"[{'wl': 'loss', 'opponent': 'Makwan Amirkhani', 'method': 'SUB\n \n \n\n Anaconda Choke', 'round': '1', 'time': '3:15'}, {'wl': 'loss', 'opponent': 'Dan Ige', 'method': 'SUB\n \n \n\n Rear Naked Choke', 'round': '1', 'time': '1:17'}, {'wl': 'win', 'opponent': 'Hakeem Dawodu', 'method': 'SUB\n \n \n\n Guillotine Choke', 'round': '1', 'time': '0:39'}, {'wl': 'win', 'opponent': 'Daniel Teymur', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}]"
Victor Henry,Switch,3.0,3.5,267.0,U-DEC,67.0,135.0,1.7,61.23,"[{'wl': 'win', 'opponent': 'Rani Yahya', 'method': 'KO/TKO\n \n \n\n Punches', 'round': '3', 'time': '2:36'}, {'wl': 'nc', 'opponent': 'Javid Basharat', 'method': 'CNC', 'round': '2', 'time': '0:15'}, {'wl': 'win', 'opponent': 'Tony Gravely', 'method': 'S-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Raphael Assuncao', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Raoni Barcelos', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}]"
TJ Hepburn,,,,,,67.0,155.0,1.7,70.31,[]
Jai Herbert,Orthodox,0.5,2.833333333333333,249.0,U-DEC,73.0,155.0,1.85,70.31,"[{'wl': 'loss', 'opponent': 'Fares Ziam', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'draw', 'opponent': 'Ludovit Klein', 'method': 'M-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Kyle Nelson', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Ilia Topuria', 'method': 'KO/TKO\n \n \n\n Punch', 'round': '2', 'time': '1:07'}, {'wl': 'win', 'opponent': 'Khama Worthy', 'method': 'KO/TKO\n \n \n\n Punches', 'round': '1', 'time': '2:47'}, {'wl': 'loss', 'opponent': 'Renato Moicano', 'method': 'SUB\n \n \n\n Rear Naked Choke', 'round': '2', 'time': '4:34'}, {'wl': 'loss', 'opponent': 'Francisco Trinaldo', 'method': 'KO/TKO\n \n \n\n Punch', 'round': '3', 'time': '1:30'}]"
Ed Herman,Orthodox,1.0,2.3461538461538463,207.0,U-DEC,73.0,205.0,1.85,92.99,"[{'wl': 'loss', 'opponent': 'Zak Cummings', 'method': 'KO/TKO\n \n \n\n Punches', 'round': '3', 'time': '4:13'}, {'wl': 'loss', 'opponent': 'Alonzo Menifield', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Mike Rodriguez', 'method': 'SUB\n \n \n\n Kimura', 'round': '3', 'time': '2:41'}, {'wl': 'win', 'opponent': 'Khadis Ibragimov', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Patrick Cummins', 'method': 'KO/TKO\n \n \n\n Knee', 'round': '1', 'time': '3:39'}, {'wl': 'loss', 'opponent': 'Gian Villante', 'method': 'S-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'CB Dollaway', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Nikita Krylov', 'method': 'KO/TKO\n \n \n\n Kick', 'round': '2', 'time': '0:40'}, {'wl': 'win', 'opponent': 'Tim Boetsch', 'method': 'KO/TKO\n \n\n\n Knee', 'round': '2', 'time': '1:39'}, {'wl': 'loss', 'opponent': 'Derek Brunson', 'method': 'KO/TKO\n \n \n\n Punch', 'round': '1', 'time': '0:36'}, {'wl': 'win', 'opponent': 'Rafael Natal', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Thales Leites', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Trevor Smith', 'method': 'S-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Jacare Souza', 'method': 'SUB\n \n \n\n Kimura', 'round': '1', 'time': '3:10'}, {'wl': 'nc', 'opponent': 'Jake Shields', 'method': 'Overturned', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Clifford Starks', 'method': 'SUB\n \n \n\n Rear Naked Choke', 'round': '2', 'time': '1:43'}, {'wl': 'win', 'opponent': 'Kyle Noke', 'method': 'SUB\n \n \n\n Heel Hook', 'round': '1', 'time': '4:15'}, {'wl': 'win', 'opponent': 'Tim Credeur', 'method': 'KO/TKO\n \n \n\n Punch', 'round': '1', 'time': '0:48'}, {'wl': 'loss', 'opponent': 'Aaron Simpson', 'method': 'KO/TKO', 'round': '2', 'time': '0:17'}, {'wl': 'win', 'opponent': 'David Loiseau', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Alan Belcher', 'method': 'S-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Demian Maia', 'method': 'SUB\n \n \n\n Triangle Choke', 'round': '2', 'time': '2:27'}, {'wl': 'win', 'opponent': 'Joe Doerksen', 'method': 'KO/TKO\n \n\n\n Punch', 'round': '3', 'time': '0:39'}, {'wl': 'win', 'opponent': 'Scott Smith', 'method': 'SUB\n \n\n\n Rear Naked Choke', 'round': '2', 'time': '2:25'}, {'wl': 'win', 'opponent': 'Chris Price', 'method': 'SUB\n \n\n\n Armbar', 'round': '1', 'time': '2:58'}, {'wl': 'loss', 'opponent': 'Jason MacDonald', 'method': 'SUB\n \n \n\n Triangle Choke', 'round': '1', 'time': '2:43'}, {'wl': 'loss', 'opponent': 'Kendall Grove', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}]"
Dave Herman,Orthodox,0.5,1.5,151.0,KO/TKO Punches,76.0,242.0,1.93,109.77,"[{'wl': 'loss', 'opponent': 'Gabriel Gonzaga', 'method': 'KO/TKO\n \n \n\n Punch', 'round': '1', 'time': '0:17'}, {'wl': 'loss', 'opponent': 'Antonio Rodrigo Nogueira', 'method': 'SUB\n \n \n\n Armbar', 'round': '2', 'time': '4:31'}, {'wl': 'loss', 'opponent': 'Roy Nelson', 'method': 'KO/TKO\n \n \n\n Punch', 'round': '1', 'time': '0:51'}, {'wl': 'loss', 'opponent': 'Stefan Struve', 'method': 'KO/TKO\n \n \n\n Punches', 'round': '2', 'time': '3:52'}, {'wl': 'win', 'opponent': 'Jon Olav Einemo', 'method': 'KO/TKO\n \n\n\n Punches', 'round': '2', 'time': '3:19'}, {'wl': 'win', 'opponent': 'Ron Waterman', 'method': 'KO/TKO\n \n \n\n Punches', 'round': '1', 'time': '2:19'}]"
Jack Hermansson,Orthodox,1.8333333333333333,2.588235294117647,216.0,U-DEC,73.0,185.0,1.85,83.91,"[{'wl': 'win', 'opponent': 'Joe Pyfer', 'method': 'U-DEC', 'round': '5', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Roman Dolidze', 'method': 'KO/TKO\n \n \n\n Punches', 'round': '2', 'time': '4:06'}, {'wl': 'win', 'opponent': 'Chris Curtis', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Sean Strickland', 'method': 'S-DEC', 'round': '5', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Edmen Shahbazyan', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Marvin Vettori', 'method': 'U-DEC', 'round': '5', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Kelvin Gastelum', 'method': 'SUB\n \n \n\n Heel Hook', 'round': '1', 'time': '1:18'}, {'wl': 'loss', 'opponent': 'Jared Cannonier', 'method': 'KO/TKO\n \n \n\n Punch', 'round': '2', 'time': '0:27'}, {'wl': 'win', 'opponent': 'Jacare Souza', 'method': 'U-DEC', 'round': '5', 'time': '5:00'}, {'wl': 'win', 'opponent': 'David Branch', 'method': 'SUB\n \n\n\n Guillotine Choke', 'round': '1', 'time': '0:49'}, {'wl': 'win', 'opponent': 'Gerald Meerschaert', 'method': 'SUB\n \n \n\n Guillotine Choke', 'round': '1', 'time': '4:25'}, {'wl': 'win', 'opponent': 'Thales Leites', 'method': 'KO/TKO\n \n \n\n Punches', 'round': '3', 'time': '2:10'}, {'wl': 'loss', 'opponent': 'Thiago Santos', 'method': 'KO/TKO\n \n \n\n Punch', 'round': '1', 'time': '4:59'}, {'wl': 'win', 'opponent': 'Brad Scott', 'method': 'KO/TKO\n \n \n\n Punch', 'round': '1', 'time': '3:50'}, {'wl': 'win', 'opponent': 'Alex Nicholson', 'method': 'KO/TKO\n \n \n\n Punches', 'round': '1', 'time': '2:00'}, {'wl': 'loss', 'opponent': 'Cezar Ferreira', 'method': 'SUB\n \n \n\n Arm Triangle', 'round': '2', 'time': '2:11'}, {'wl': 'win', 'opponent': 'Scott Askham', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}]"
Noe Hernandez,Orthodox,0.0,1.0,720.0,U-DEC,,,,,"[{'wl': 'loss', 'opponent': 'Chuck Liddell', 'method': 'U-DEC', 'round': '1', 'time': '12:00'}]"
Joe Hernandez,,,,,,,,,,[]
Ramiro Hernandez,Orthodox,0.0,2.0,185.0,SUB Rear Naked Choke,69.0,135.0,1.75,61.23,"[{'wl': 'loss', 'opponent': 'Hugo Viana', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Lucas Martins', 'method': 'SUB\n \n \n\n Rear Naked Choke', 'round': '1', 'time': '1:10'}]"
Alexander Hernandez,Orthodox,0.8571428571428571,2.230769230769231,220.0,U-DEC,69.0,155.0,1.75,70.31,"[{'wl': 'loss', 'opponent': 'Damon Jackson', 'method': 'S-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Bill Algeo', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Jim Miller', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Billy Quarantillo', 'method': 'KO/TKO\n \n \n\n Punches', 'round': '2', 'time': '4:30'}, {'wl': 'loss', 'opponent': 'Renato Moicano', 'method': 'SUB\n \n \n\n Rear Naked Choke', 'round': '2', 'time': '1:23'}, {'wl': 'win', 'opponent': 'Mike Breeden', 'method': 'KO/TKO\n \n \n\n Punch', 'round': '1', 'time': '1:20'}, {'wl': 'loss', 'opponent': 'Thiago Moises', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Chris Gruetzemacher', 'method': 'KO/TKO\n \n\n\n Punches', 'round': '1', 'time': '1:46'}, {'wl': 'loss', 'opponent': 'Drew Dober', 'method': 'KO/TKO\n \n \n\n Punches', 'round': '2', 'time': '4:25'}, {'wl': 'win', 'opponent': 'Francisco Trinaldo', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Donald Cerrone', 'method': 'KO/TKO\n \n\n\n Kick', 'round': '2', 'time': '3:43'}, {'wl': 'win', 'opponent': 'Olivier Aubin-Mercier', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Beneil Dariush', 'method': 'KO/TKO\n \n\n\n Punch', 'round': '1', 'time': '0:42'}]"
Anthony Hernandez,Orthodox,3.0,2.375,151.0,SUB Anaconda Choke,72.0,185.0,1.83,83.91,"[{'wl': 'win', 'opponent': 'Roman Kopylov', 'method': 'SUB\n \n\n\n Rear Naked Choke', 'round': '2', 'time': '3:23'}, {'wl': 'win', 'opponent': 'Edmen Shahbazyan', 'method': 'KO/TKO\n \n \n\n Elbows', 'round': '3', 'time': '1:01'}, {'wl': 'win', 'opponent': 'Marc-Andre Barriault', 'method': 'SUB\n \n \n\n Arm Triangle', 'round': '3', 'time': '1:53'}, {'wl': 'win', 'opponent': 'Josh Fremd', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Rodolfo Vieira', 'method': 'SUB\n \n\n\n Guillotine Choke', 'round': '2', 'time': '1:53'}, {'wl': 'loss', 'opponent': 'Kevin Holland', 'method': 'KO/TKO\n \n \n\n Knees', 'round': '1', 'time': '0:39'}, {'wl': 'win', 'opponent': 'JunYong Park', 'method': 'SUB\n \n \n\n Anaconda Choke', 'round': '2', 'time': '4:39'}, {'wl': 'loss', 'opponent': 'Markus Perez', 'method': 'SUB\n \n \n\n Anaconda Choke', 'round': '2', 'time': '1:07'}, {'wl': 'nc', 'opponent': 'Jordan Wright', 'method': 'Overturned\n \n \n\n Punches', 'round': '1', 'time': '0:40'}]"
Nohelin Hernandez,Orthodox,0.0,2.5,188.0,SUB Rear Naked Choke,70.0,135.0,1.78,61.23,"[{'wl': 'loss', 'opponent': 'Jack Shore', 'method': 'SUB\n \n \n\n Rear Naked Choke', 'round': '3', 'time': '2:51'}, {'wl': 'loss', 'opponent': 'Marlon Vera', 'method': 'SUB\n \n \n\n Rear Naked Choke', 'round': '2', 'time': '3:25'}]"
Carlos Hernandez,Orthodox,1.5,2.4,230.0,S-DEC,68.0,125.0,1.73,56.7,"[{'wl': 'loss', 'opponent': 'Tatsuro Taira', 'method': 'KO/TKO\n \n \n\n Punches', 'round': '2', 'time': '0:55'}, {'wl': 'win', 'opponent': 'Denys Bondar', 'method': 'U-DEC', 'round': '3', 'time': '4:59'}, {'wl': 'loss', 'opponent': 'Allan Nascimento', 'method': 'SUB\n \n \n\n Rear Naked Choke', 'round': '1', 'time': '3:16'}, {'wl': 'win', 'opponent': 'Victor Altamirano', 'method': 'S-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Daniel Barez', 'method': 'S-DEC', 'round': '3', 'time': '5:00'}]"
Paul Herrera,Orthodox,0.0,1.0,13.0,KO/TKO Elbows,70.0,185.0,1.78,83.91,"[{'wl': 'loss', 'opponent': 'Gary Goodridge', 'method': 'KO/TKO\n \n \n\n Elbows', 'round': '1', 'time': '0:13'}]"
Chris Herrera,,,,,,70.0,185.0,1.78,83.91,[]
Geane Herrera,Orthodox,0.3333333333333333,2.75,292.0,U-DEC,65.0,125.0,1.65,56.7,"[{'wl': 'loss', 'opponent': 'Ben Nguyen', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Ali Bagautinov', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Joby Sanchez', 'method': 'KO/TKO\n \n \n\n Punch', 'round': '2', 'time': '4:28'}, {'wl': 'loss', 'opponent': 'Ray Borg', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}]"
Alvaro Herrera Mendoza,Orthodox,,,,,72.0,155.0,1.83,70.31,[]
Felice Herrig,Orthodox,1.0,2.4,244.0,U-DEC,64.0,115.0,1.63,52.16,"[{'wl': 'loss', 'opponent': 'Karolina Kowalkiewicz', 'method': 'SUB\n \n \n\n Rear Naked Choke', 'round': '2', 'time': '4:01'}, {'wl': 'loss', 'opponent': 'Virna Jandiroba', 'method': 'SUB\n \n \n\n Armbar', 'round': '1', 'time': '1:44'}, {'wl': 'loss', 'opponent': 'Michelle Waterson-Gomez', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Karolina Kowalkiewicz', 'method': 'S-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Cortney Casey', 'method': 'S-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Justine Kish', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Alexa Grasso', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Kailin Curran', 'method': 'SUB\n \n\n\n Rear Naked Choke', 'round': '1', 'time': '1:59'}, {'wl': 'loss', 'opponent': 'Paige VanZant', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Lisa Ellis', 'method': 'SUB\n \n \n\n Armbar', 'round': '2', 'time': '3:05'}]"
Heath Herring,Orthodox,,,,,76.0,250.0,1.93,113.4,[]
Jon Hess,,,1.0,83.0,KO/TKO Knees,79.0,295.0,2.01,133.81,"[{'wl': 'win', 'opponent': 'Andy Anderson', 'method': 'KO/TKO\n \n \n\n Knees', 'round': '1', 'time': '1:23'}]"
Clint Hester,Orthodox,1.3333333333333333,2.2857142857142856,247.0,KO/TKO Elbow,74.0,205.0,1.88,92.99,"[{'wl': 'loss', 'opponent': 'Marcos Rogerio de Lima', 'method': 'SUB\n \n \n\n Arm Triangle', 'round': '1', 'time': '4:35'}, {'wl': 'loss', 'opponent': 'Vitor Miranda', 'method': 'KO/TKO\n \n \n\n Elbows', 'round': '2', 'time': '2:38'}, {'wl': 'loss', 'opponent': 'Robert Whittaker', 'method': 'KO/TKO\n \n\n\n Knee', 'round': '2', 'time': '2:43'}, {'wl': 'win', 'opponent': 'Antonio Braga Neto', 'method': 'S-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Andy Enz', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Dylan Andrews', 'method': 'KO/TKO', 'round': '2', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Bristol Marunde', 'method': 'KO/TKO\n \n \n\n Elbow', 'round': '3', 'time': '3:53'}]"
Brandon Hester,,,,,,73.0,205.0,1.85,92.99,[]
Jimy Hettes,Southpaw,1.0,2.333333333333333,234.0,U-DEC,69.0,145.0,1.75,65.77,"[{'wl': 'loss', 'opponent': 'Diego Brandao', 'method': 'KO/TKO', 'round': '1', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Dennis Bermudez', 'method': 'KO/TKO\n \n \n\n Knee', 'round': '3', 'time': '2:57'}, {'wl': 'win', 'opponent': 'Robert Whiteford', 'method': 'SUB\n \n \n\n Triangle Choke', 'round': '2', 'time': '2:17'}, {'wl': 'loss', 'opponent': 'Marcus Brimage', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Nam Phan', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Alex Caceres', 'method': 'SUB\n \n \n\n Rear Naked Choke', 'round': '2', 'time': '3:12'}]"
Conor Heun,Orthodox,0.3333333333333333,3.0,268.0,U-DEC,70.0,155.0,1.78,70.31,"[{'wl': 'loss', 'opponent': 'Ryan Couture', 'method': 'KO/TKO\n \n \n\n Punches', 'round': '3', 'time': '2:52'}, {'wl': 'win', 'opponent': 'Magno Almeida', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'KJ Noons', 'method': 'S-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Jorge Gurgel', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}]"
Marcus Hicks,Southpaw,1.0,1.8333333333333333,194.0,SUB Guillotine Choke,66.0,155.0,1.68,70.31,"[{'wl': 'loss', 'opponent': 'Shane Roller', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Rob McCullough', 'method': 'M-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Jamie Varner', 'method': 'KO/TKO\n \n\n\n Punches', 'round': '1', 'time': '2:08'}, {'wl': 'win', 'opponent': 'Ed Ratcliff', 'method': 'SUB\n \n\n\n Guillotine Choke', 'round': '1', 'time': '1:42'}, {'wl': 'win', 'opponent': 'Scott McAfee', 'method': 'SUB\n \n \n\n Guillotine Choke', 'round': '1', 'time': '2:15'}, {'wl': 'win', 'opponent': 'Sergio Gomez', 'method': 'SUB\n \n\n\n Guillotine Choke', 'round': '2', 'time': '3:20'}]"
