fighter,stance,win_loss_ratio,average_rounds,average_time_seconds,most_common_method,height_inches,weight_lbs,height_meters,weight_kg
Jaime Alvarez,Orthodox,,3.0,300.0,U-DEC,68.0,125.0,1.73,56.7
Joel Alvarez,Orthodox,,,,None,75.0,155.0,1.91,70.31
Thiago Alves,Orthodox,1.25,2.4074074074074074,236.0,U-DEC,69.0,170.0,1.75,77.11
Anthony Alves,,0.0,1.0,121.0,KO/TKO,,,,
Amilcar Alves,Southpaw,0.0,3.0,245.0,SUB Armbar,72.0,170.0,1.83,77.11
Warlley Alves,Orthodox,1.0,2.3125,203.0,U-DEC,71.0,170.0,1.8,77.11
Rafael Alves,Orthodox,0.6666666666666666,2.4,194.0,SUB Guillotine Choke,68.0,155.0,1.73,70.31
Sam Alvey,Southpaw,0.7692307692307693,2.260869565217391,237.0,U-DEC,74.0,185.0,1.88,83.91
Andre Amado,Orthodox,0.0,1.3333333333333333,311.0,KO/TKO Punches,72.0,154.0,1.83,69.85
Adlan Amagov,Orthodox,5.0,1.6666666666666667,181.0,KO/TKO Punch,74.0,170.0,1.88,77.11
Maiara Amanajas dos Santos,Southpaw,0.0,1.0,206.0,KO/TKO Punch,65.0,115.0,1.65,52.16
Chris Amarante,,,1.0,277.0,SUB Armbar,,185.0,,83.91
Jimmy Ambriz,Southpaw,0.0,1.3333333333333333,183.0,KO/TKO Punches,74.0,315.0,1.88,142.88
JJ Ambrose,Orthodox,0.0,1.0,171.0,SUB Rear Naked Choke,70.0,170.0,1.78,77.11
Alen Amedovski,Orthodox,0.0,1.5,154.0,KO/TKO Punch,70.0,185.0,1.78,83.91
Makwan Amirkhani,Southpaw,1.0,2.142857142857143,209.0,U-DEC,70.0,145.0,1.78,65.77
Bertrand Amoussou,Orthodox,,2.0,29.0,KO/TKO Punches,68.0,190.0,1.73,86.18
Karl Amoussou,Orthodox,0.0,3.0,554.0,CNC,71.0,185.0,1.8,83.91
Eryk Anders,Southpaw,1.0,2.75,279.0,U-DEC,73.0,185.0,1.85,83.91
Matt Andersen,Southpaw,0.0,1.0,332.0,KO/TKO Punches,74.0,230.0,1.88,104.33
Andy Anderson,,0.0,1.0,83.0,KO/TKO Knees,66.0,240.0,1.68,108.86
Lowell Anderson,Orthodox,0.0,3.0,13.0,KO/TKO,66.0,160.0,1.68,72.57
Corey Anderson,Orthodox,,,,None,75.0,205.0,1.91,92.99
Derek Anderson,,,,,None,72.0,155.0,1.83,70.31
Megan Anderson,Orthodox,1.0,1.3333333333333333,189.0,SUB Triangle Armbar,72.0,145.0,1.83,65.77
Alex Andrade,Orthodox,0.0,2.5,171.0,DQ,71.0,200.0,1.8,90.72
Jessica Andrade,Orthodox,1.7,2.111111111111111,230.0,U-DEC,61.0,125.0,1.55,56.7
Viscardi Andrade,Orthodox,3.0,2.5,249.0,U-DEC,71.0,170.0,1.8,77.11
Jermaine Andre,Orthodox,2.0,1.6666666666666667,142.0,KO/TKO Knee,67.0,200.0,1.7,90.72
Dylan Andrews,Switch,0.6666666666666666,1.8,204.0,KO/TKO Punch,73.0,185.0,1.85,83.91
Reese Andy,Orthodox,0.0,2.5,219.0,KO/TKO Punches,72.0,205.0,1.83,92.99
Julius Anglickas,Orthodox,,3.0,205.0,SUB Rear Naked Choke,75.0,205.0,1.91,92.99
Collin Anglin,Orthodox,0.5,2.0,226.0,KO/TKO Kick,69.0,145.0,1.75,65.77
Chad Anheliger,Orthodox,1.5,3.0,280.0,U-DEC,66.0,135.0,1.68,61.23
Yoji Anjo,Orthodox,0.0,1.5,225.0,SUB Arm Triangle,71.0,205.0,1.8,92.99
Magomed Ankalaev,Orthodox,10.0,3.0,259.0,U-DEC,75.0,205.0,1.91,92.99
Gadzhimurad Antigulov,Orthodox,0.5,1.1666666666666667,156.0,SUB Triangle Choke,71.0,205.0,1.8,92.99
Adam Antolin,Orthodox,3.0,1.75,150.0,SUB Rear Naked Choke,65.0,125.0,1.65,56.7
Angelo Antonio,Orthodox,0.0,1.0,55.0,KO/TKO Kicks,,205.0,,92.99
Azunna Anyanwu,Orthodox,1.0,2.5,242.0,S-DEC,73.0,251.0,1.85,113.85
Shinsho Anzai,Orthodox,1.0,2.0,192.0,KO/TKO Punch,67.0,170.0,1.7,77.11
Shinya Aoki,Southpaw,6.5,1.6666666666666667,199.0,U-DEC,71.0,154.0,1.8,69.85
Aoriqileng,Orthodox,1.0,2.6666666666666665,273.0,U-DEC,67.0,125.0,1.7,56.7
Josh Appelt,Southpaw,0.0,1.0,266.0,KO/TKO Punch,70.0,255.0,1.78,115.67
Erik Apple,Orthodox,0.0,1.6666666666666667,166.0,SUB Triangle Choke,72.0,170.0,1.83,77.11
Kenji Arai,Southpaw,0.0,1.0,239.0,KO/TKO Kick,70.0,145.0,1.78,65.77
Romie Aram,Orthodox,1.0,3.0,300.0,U-DEC,70.0,170.0,1.78,77.11
Felipe Arantes,Orthodox,0.8333333333333334,2.727272727272727,297.0,U-DEC,68.0,135.0,1.73,61.23
Igor Araujo,Orthodox,1.0,2.75,262.0,U-DEC,73.0,170.0,1.85,77.11
Viviane Araujo,Orthodox,1.2,3.1818181818181817,277.0,U-DEC,64.0,125.0,1.63,56.7
Julio Arce,Southpaw,1.75,2.6363636363636362,216.0,KO/TKO Punches,67.0,145.0,1.7,65.77
Art Arciniega,,,,,None,68.0,145.0,1.73,65.77
Tristan Arenal,,,1.0,118.0,SUB Armbar,,155.0,,70.31
Hashem Arkhagha,Orthodox,0.0,1.0,261.0,SUB Rear Naked Choke,74.0,185.0,1.88,83.91
Andrei Arlovski,Orthodox,,,,None,75.0,240.0,1.91,108.86
Joey Armstrong,,,1.0,176.0,KO/TKO,,,,
Austin Arnett,Orthodox,0.25,2.8,285.0,U-DEC,72.0,145.0,1.83,65.77
Ricardo Arona,Orthodox,2.0,2.0,302.0,U-DEC,71.0,205.0,1.8,92.99
Chalid Arrab,Orthodox,1.0,1.5,292.0,SUB Armbar,71.0,205.0,1.8,92.99
Akbarh Arreola,Southpaw,0.3333333333333333,2.25,253.0,U-DEC,70.0,155.0,1.78,70.31
Matt Arroyo,Orthodox,0.5,2.0,267.0,S-DEC,70.0,170.0,1.78,77.11
Antonio Arroyo,Orthodox,0.6666666666666666,2.8,251.0,U-DEC,75.0,185.0,1.91,83.91
Gilles Arsene,Southpaw,0.0,3.0,128.0,SUB Armbar,69.0,190.0,1.75,86.18
Veta Arteaga,,,,,None,67.0,125.0,1.7,56.7
Cesar Arzamendia,Orthodox,0.0,1.0,184.0,KO/TKO Punches,71.0,155.0,1.8,70.31
Teddy Ash,Switch,0.0,3.0,300.0,U-DEC,73.0,185.0,1.85,83.91
Arman Ashimov,,,,,None,66.0,125.0,1.68,56.7
Askar Askar,Orthodox,,,,None,67.0,145.0,1.7,65.77
Askar Askarov,Orthodox,3.0,3.75,375.0,U-DEC,66.0,125.0,1.68,56.7
Cyril Asker,Orthodox,0.6666666666666666,1.2,144.0,KO/TKO Elbow,72.0,247.0,1.83,112.04
Khusein Askhabov,,0.0,3.0,300.0,U-DEC,68.0,145.0,1.73,65.77
Scott Askham,Southpaw,0.5,2.3333333333333335,276.0,S-DEC,75.0,185.0,1.91,83.91
Ben Askren,Orthodox,0.5,1.6666666666666667,146.0,KO/TKO Flying Knee,71.0,170.0,1.8,77.11
Ibo Aslan,,,2.0,117.0,KO/TKO Punches,75.0,205.0,1.91,92.99
Tom Aspinall,Orthodox,7.0,1.125,92.0,KO/TKO Punches,77.0,256.0,1.96,116.12
Bruno Assis,Orthodox,0.0,3.0,300.0,U-DEC,74.0,185.0,1.88,83.91
Junior Assuncao,Orthodox,0.6666666666666666,2.0,217.0,SUB Rear Naked Choke,69.0,145.0,1.75,65.77
Raphael Assuncao,Orthodox,1.6666666666666667,2.6666666666666665,251.0,U-DEC,65.0,135.0,1.65,61.23
